,nAcid,nBase,nAromAtom,nAromBond,nAtom,nHetero,nO,nBonds,nBondsS,nBondsD,nBondsA,nBondsM,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,Mm,Mv,Mare,Mp,FilterItLogS,SLogP,TopoPSA,Radius,nRot,BertzCT,LabuteASA,apol,bpol,nBridgehead,nH,nC,nP,nBondsKS,nBondsKD,FCSP3,NsCH3,NdCH2,NssCH2,NdsCH,NsssCH,NddC,NdssC,NaasC,NaaaC,NssssC,NsNH3,NsNH2,NssNH2,NdNH,NssNH,NaaNH,NsssNH,NdsN,NaaN,NsssN,NddsN,NaasN,NssssN,NsOH,NdO,NssO,NaaO,SsCH3,SdCH2,SssCH2,SdsCH,SsssCH,SddC,SdssC,SaasC,SaaaC,SssssC,SsNH3,SsNH2,SssNH2,SdNH,SssNH,SaaNH,SsssNH,SdsN,SaaN,SsssN,SddsN,SaasN,SssssN,SsOH,SdO,SssO,SaaO,VMcGowan,nRing,n5Ring,n6Ring,n5HRing,n6HRing,n5ARing,n6ARing,n5AHRing,n6AHRing,nFRing,APRSASA
Arg,1,4,0,0,27,6,2,26,24,2,0,2,0,0,1,0,0,1,3,0,0,0.540282519,0.537968926,0.996740741,0.577198825,-0.574320368,-5.519,133.78,4,5,176.3868988,70.43471203,26.025895,15.074105,0,15,6,0,24,2,0.666666667,0,0,3,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.670925926,0,-0.661297241,0,-0.982627551,0,0,0,3.395081255,10.21625094,0,0,0,0,0,0,0,0,0,0,0,0,10.17873488,0,0,140.61,0,0,0,0,0,0,0,0,0,0,51.05461238
n-OG,0,0,0,0,48,6,6,48,48,0,0,0,0,0,0,0,0,4,10,0,0,0.507125413,0.539049664,0.98,0.584608333,-0.915153785,0.1634,99.38,7,9,247.8186275,119.8816928,46.862204,31.561796,0,28,14,0,48,0,1,1,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2.168871991,0,6.740240757,0,-5.892235682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.00824482,0,10.64154478,0,232.48,1,0,1,0,1,0,1,0,1,0,48.69394731
CHGP,0,0,0,0,95,6,6,99,98,1,0,1,0,0,0,1,1,7,16,6,2,0.480967008,0.552210244,0.954526316,0.613062767,-4.003352854,5.2129,99.38,10,8,872.255528,236.1026654,97.262408,59.651592,0,56,33,0,98,1,0.939393939,5,0,12,1,12,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,12.38966506,0,13.16301992,2.536808641,-1.283244023,0,1.504438994,0,0,0.698404209,0,0,0,0,0,0,0,0,0,0,0,0,0,40.30243848,0,11.85513539,0,452.45,5,1,4,0,1,1,4,0,1,1,48.18224158
Span80,0,0,0,0,74,6,6,74,72,2,0,2,0,0,1,2,0,3,18,0,0,0.482226878,0.54336495,0.961081081,0.600670756,-4.49591353,4.0486,96.22,12,18,452.9771072,182.2087993,74.230892,48.481108,0,44,24,0,72,2,0.875,1,0,16,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2.24873418,0,15.77943735,4.624285987,-4.19155921,0,-0.347488297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97559242,11.74697932,10.16401825,0,364.78,1,1,0,1,0,1,0,1,0,0,41.02002236
Span85,0,0,0,0,176,8,8,176,170,6,0,6,0,0,3,6,0,5,46,0,0,0.45295411,0.539642581,0.944545455,0.607749197,-16.548008,17.2254,108.36,21,50,1227.817576,418.9291765,178.629644,117.894356,0,108,60,0,170,6,0.85,3,0,44,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,6.771048911,0,46.61056005,13.96859846,-3.976115602,0,-1.105350618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.15743421,38.76813383,23.13902409,0,866.56,1,1,0,1,0,1,0,1,0,0,46.26315729
PS25,0,0,0,0,268,28,28,268,265,3,0,3,0,0,3,0,0,45,34,0,0,0.49461439,0.54036855,0.971044776,0.591539222,-21.16156732,11.2076,292.96,30,95,1836.298907,663.2976167,264.749294,202.774706,0,158,82,0,265,3,0.963414634,3,0,72,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24,0,6.695695546,0,47.83920481,0,-2.180340776,0,-0.503725282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.863841099,36.19702163,138.4216363,0,1306.84,1,1,0,1,0,1,0,1,0,0,43.36239202
PSDL,0,0,0,0,233,27,27,233,231,2,0,2,0,0,2,0,0,44,24,0,0,0.503769613,0.541389985,0.976309013,0.589133787,-16.8477427,6.7358,286.89,30,84,1550.223955,582.4374778,229.237848,178.100152,0,136,70,0,231,2,0.971428571,2,0,62,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,0,4.462010724,0,36.53266599,0,-2.13617591,0,-0.332544275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66304681,24.043978,131.9336853,0,1136.19,1,1,0,1,0,1,0,1,0,0,40.93773533
PSDO,0,0,0,0,265,27,27,265,261,4,0,4,0,0,2,4,0,44,32,0,0,0.494553892,0.541743942,0.970113208,0.593410254,-19.91906345,10.969,286.89,36,94,1847.156775,657.4375771,262.613708,198.164292,0,156,82,0,261,4,0.926829268,2,0,70,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,23,0,4.514737379,0,46.37896166,9.359509035,-2.151636021,0,-0.342497794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.70376189,24.30083667,132.4029939,0,1296.67,1,1,0,1,0,1,0,1,0,0,41.6420499
PSBN,0,0,0,0,163,25,25,163,163,0,0,0,0,0,0,0,0,42,4,0,0,0.533875134,0.544748813,0.993619632,0.581223893,-8.167198617,-2.2078,274.75,18,62,1000.774594,420.7171999,158.214956,128.751044,0,92,46,0,163,0,1,0,0,42,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,0,13.77375046,0,-2.054623019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.02997979,0,119.0842261,0,794.89,1,1,0,1,0,1,0,1,0,0,29.79078643
PS85,0,0,0,0,316,28,28,316,310,6,0,6,0,0,3,6,0,45,46,0,0,0.484412495,0.540968951,0.964050633,0.596553256,-25.74633404,17.5574,292.96,36,110,2293.769123,775.7977657,314.813084,232.870916,0,188,100,0,310,6,0.91,3,0,84,6,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,24,0,6.775535801,0,62.57805459,14.04831374,-2.204022171,0,-0.518841367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.894365449,36.61796901,139.1419583,0,1547.56,1,1,0,1,0,1,0,1,0,0,46.08494651
PS20,0,0,0,0,198,26,26,198,197,1,0,1,0,0,1,0,0,43,14,0,0,0.516161532,0.542772533,0.983434343,0.585877947,-12.51755684,2.264,280.82,24,73,1271.315733,501.5773388,193.726402,153.425598,0,114,58,0,197,1,0.982758621,1,0,52,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,22,0,2.230093982,0,25.16966341,0,-2.093696855,0,-0.1653197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.37872461,11.98609906,125.4944355,0,965.54,1,1,0,1,0,1,0,1,0,0,37.19482874
PS80,0,0,0,0,214,26,26,214,212,2,0,2,0,0,1,2,0,43,18,0,0,0.509529038,0.54288832,0.979065421,0.588769187,-14.06250506,4.3806,280.82,27,78,1415.014066,539.0773885,210.414332,163.457668,0,124,64,0,212,2,0.953125,1,0,56,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,22,0,2.256249095,0,30.10125294,4.676768327,-2.101180516,0,-0.170244107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.40848957,12.10377232,125.7248924,0,1045.78,1,1,0,1,0,1,0,1,0,0,34.48423393
Brij O20,0,0,0,0,184,19,19,183,182,1,0,1,0,0,0,2,0,38,15,0,0,0.486630914,0.534683218,0.969565217,0.587201347,-15.07727079,6.7051,186.37,37,70,991.1369456,448.5945701,180.43523,141.60077,0,110,55,0,182,1,0.963636364,1,0,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,2.279038037,0,38.40324076,4.796053308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.609800415,0,98.91186748,0,893.04,0,0,0,0,0,0,0,0,0,0,37.97243952
